targetSide,comparisonValue, staircase,WidthDiff,correct
-1,4.500, low,0.500,1
1,3.000, high,2.000,-1
-1,5.000, low,0.000,-1
-1,3.000, high,2.000,1
1,6.000, low,1.000,1
1,6.000, high,1.000,1
-1,6.000, high,1.000,-1
-1,4.000, low,1.000,-1
-1,7.000, high,2.000,1
1,7.000, low,2.000,1
-1,7.000, high,2.000,1
1,3.000, low,2.000,1
-1,6.000, low,1.000,1
1,3.500, high,1.500,1
1,4.000, low,1.000,1
-1,3.500, high,1.500,1
1,6.000, high,1.000,-1
-1,5.000, low,0.000,-1
1,3.500, high,1.500,1
1,4.500, low,0.500,-1
-1,3.500, high,1.500,-1
1,4.000, low,1.000,-1
1,3.500, low,1.500,1
-1,7.000, high,2.000,1
-1,6.500, low,1.500,1
-1,3.000, high,2.000,1
1,3.500, high,1.500,1
-1,6.000, low,1.000,1
-1,6.000, low,1.000,-1
1,3.500, high,1.500,1
1,4.000, high,1.000,1
-1,6.500, low,1.500,1
1,6.000, high,1.000,1
-1,3.500, low,1.500,-1
1,3.000, low,2.000,1
1,4.500, high,0.500,1
1,7.000, low,2.000,1
1,5.500, high,0.500,1
-1,5.000, high,0.000,-1
1,3.500, low,1.500,1
-1,4.500, high,0.500,1
1,3.500, low,1.500,1
-1,6.000, low,1.000,-1
1,4.500, high,0.500,1
-1,5.000, high,0.000,-1
1,3.500, low,1.500,1
1,3.500, low,1.500,1
-1,5.500, high,0.500,-1
-1,6.000, low,1.000,1
1,6.000, high,1.000,1
-1,6.000, low,1.000,1
-1,4.000, high,1.000,1
-1,4.500, low,0.500,-1
1,5.500, high,0.500,1
-1,4.500, high,0.500,-1
-1,4.000, low,1.000,-1
-1,3.500, low,1.500,-1
1,3.000, low,2.000,1
-1,3.000, low,2.000,-1
-1,7.000, low,2.000,-1
1,3.000, low,2.000,1
-1,7.000, low,2.000,-1
1,3.000, low,2.000,1
1,3.000, low,2.000,1
